author	title	tlgAuthor	tlgId	lang	date	genre	subgenre
Achilles Tatius	Leucippe and Clitophon	0532	001	grc	120	Narrative	Novel
Aelian	De Natura Animalium	0545	001	grc	230	Technical	Natural History
Aelian	Epistulae Rusticae	0545	003	grc	230	Letters	Letters
Aelian	Varia Historia	0545	002	grc	200	Essays	Miscellanea
Aeneas Tacticus	Poliorcetica	0058	001	grc	-350	Technical	Military
Aeschines	Against Ctesiphon	0026	003	grc	-330	Oratory	Oratory
Aeschines	Against Timarchus	0026	001	grc	-347	Oratory	Oratory
Aeschines	The Speech on the Embassy	0026	002	grc	-336	Oratory	Oratory
Aeschylus	Agamemnon	0085	005	grc	-458	Tragedy	Tragedy
Aeschylus	Eumenides	0085	007	grc	-458	Tragedy	Tragedy
Aeschylus	Libation Bearers	0085	006	grc	-458	Tragedy	Tragedy
Aeschylus	Persians	0085	002	grc	-472	Tragedy	Tragedy
Aeschylus	Prometheus Bound	0085	003	grc	-457	Tragedy	Tragedy
Aeschylus	Seven Against Thebes	0085	004	grc	-467	Tragedy	Tragedy
Aeschylus	Suppliant Maidens	0085	001	grc	-463	Tragedy	Tragedy
Agathemerus	Geographiae Informatio	0090	001	grc	250	Technical	Geography
Andocides	Against Alcibiades	0027	004	grc	-415	Oratory	Oratory
Andocides	On His Return	0027	002	grc	-411	Oratory	Oratory
Andocides	On the Mysteries	0027	001	grc	-415	Oratory	Oratory
Andocides	On the Peace	0027	003	grc	-393	Oratory	Oratory
Antiphon	First Tetralogy	0028	002	grc	-425	Oratory	Oratory
Antiphon	On the Choreutes	0028	006	grc	-419	Oratory	Oratory
Antiphon	On the Murder of Herodes	0028	005	grc	-425	Oratory	Oratory
Antiphon	Prosecution Of The Stepmother For Poisoning	0028	001	grc	-415	Oratory	Oratory
Antiphon	Second Tetralogy	0028	003	grc	-425	Oratory	Oratory
Antiphon	Third Tetralogy	0028	004	grc	-425	Oratory	Oratory
Apollonius Rhodius	Argonautica	0001	001	grc	-245	Poetry	Epic
Appian	Gallic History	0551	005	grc	165	Narrative	History
Appian	Hannibalic War	0551	008	grc	165	Narrative	History
Appian	Illyrian Wars	0551	012	grc	165	Narrative	History
Appian	Italy	0551	003	grc	165	Narrative	History
Appian	Kings	0551	002	grc	165	Narrative	History
Appian	Macedonian Affairs	0551	011	grc	165	Narrative	History
Appian	Mithridatic Wars	0551	014	grc	165	Narrative	History
Appian	Numidian Affairs	0551	010	grc	165	Narrative	History
Appian	Punic Wars	0551	009	grc	165	Narrative	History
Appian	Samnite History	0551	004	grc	165	Narrative	History
Appian	Sicily and the Other Islands	0551	006	grc	165	Narrative	History
Appian	Syrian Wars	0551	013	grc	165	Narrative	History
Appian	The Civil Wars	0551	017	grc	165	Narrative	History
Appian	Wars in Spain	0551	007	grc	165	Narrative	History
Aratus	Phaenomena	0653	001	grc	-276	Poetry	Didactic
Aretaeus	De causis et signis acutorum morborum	0719	001	grc	100	Technical	Medicine
Aretaeus	De causis et signis diuturnorum morborum	0719	002	grc	100	Technical	Medicine
Aretaeus	De curatione acutorum morborum	0719	003	grc	100	Technical	Medicine
